location,2010
Afghanistan,28189672
Albania,2913399
Algeria,35856344
American Samoa,54849
Andorra,71519
Angola,23364185
Anguilla,13172
Antigua and Barbuda,85695
Argentina,41100123
Armenia,2946293
Aruba,100341
Australia,22019168
Austria,8362829
Azerbaijan,9237202
Bahamas,373272
Bahrain,1213645
Bangladesh,148391139
Barbados,274711
Belarus,9731427
Belgium,10877947
Belize,322106
Benin,9445710
Bermuda,63447
Bhutan,705516
Bolivia,10223270
Bosnia and Herzegovina,3811088
Botswana,2091664
Brazil,196353492
British Virgin Islands,27556
Brunei,396053
Bulgaria,7592273
Burkina Faso,16116845
Burundi,9126605
Cambodia,14363532
Cameroon,19878036
Canada,33963412
Cape Verde,521212
Cayman Islands,54074
Central African Republic,4660067
Chad,11894727
Chile,17004162
China,1348191368
Colombia,44816108
Comoros,656024
Cook Islands,17212
Costa Rica,4622252
Croatia,4368682
Cuba,11290417
Curacao,159380
Cyprus,1129686
Czech Republic,10464749
Denmark,5550849
Djibouti,919199
Dominica,68755
Dominican Republic,9775755
DR Congo,66391257
Ecuador,14989585
Egypt,87252413
El Salvador,6114034
England,52642500
Equatorial Guinea,1094524
Eritrea,3147727
Estonia,1331535
Eswatini,1099920
Ethiopia,89237791
Falkland Islands,3187
Faroe Islands,48410
Fiji,905169
Finland,5363271
France,62444567
French Guiana,228453
French Polynesia,283788
Gabon,1711105
Gambia,1937275
Georgia,3836831
Germany,81325090
Ghana,25574719
Gibraltar,31262
Greece,11033783
Greenland,56351
Grenada,114039
Guadeloupe,403072
Guam,164905
Guatemala,14543121
Guernsey,60782
Guinea,10270728
Guinea-Bissau,1567220
Guyana,747932
Haiti,9842880
Honduras,8450933
Hong Kong,7132438
Hungary,9986825
Iceland,318333
India,1240613620
Indonesia,244016173
Iran,75373855
Iraq,31264875
Ireland,4524585
Isle of Man,83828
Israel,7328445
Italy,59822450
Ivory Coast,21120042
Jamaica,2733896
Japan,128105431
Jersey,96151
Jordan,6931258
Kazakhstan,16627837
Kenya,41517895
Kiribati,107995
Kuwait,2943356
Kyrgyzstan,5483774
Laos,6323418
Latvia,2101530
Lebanon,4995800
Lesotho,2022747
Liberia,4019956
Libya,6491988
Liechtenstein,35926
Lithuania,3139019
Luxembourg,507070
Macau,557297
Madagascar,21731053
Malawi,14718422
Malaysia,28717731
Maldives,361575
Mali,15529181
Malta,418755
Marshall Islands,53416
Martinique,392181
Mauritania,3419461
Mauritius,1283330
Mayotte,211786
Mexico,112532401
Micronesia,107588
Moldova,3678186
Monaco,33178
Mongolia,2702520
Montenegro,631044
Montserrat,4938
Morocco,32464865
Mozambique,23073723
Myanmar,49390988
Namibia,2099271
Nauru,10241
Nepal,27161567
Netherlands,16617116
New Caledonia,261426
New Zealand,4346338
Nicaragua,5855734
Niger,16647543
Nigeria,160952853
Niue,1812
North Korea,24686435
Macedonia,2093828
Northern Ireland,1804800
Northern Mariana Islands,54087
Norway,4889741
Oman,2881914
Pakistan,194454498
Palau,18540
Palestine,3992278
Panama,3623617
Papua New Guinea,7583269
Paraguay,5768613
Peru,29229572
Philippines,94636700
Poland,38597353
Portugal,10588401
Puerto Rico,3717922
Qatar,1713504
Republic of the Congo,4437884
Reunion,890130
Romania,20335211
Russia,143242599
Rwanda,10309031
Saint Barthelemy,8988
Saint Kitts and Nevis,47403
Saint Lucia,170935
Saint Martin,36458
Saint Pierre and Miquelon,6052
Saint Vincent and the Grenadines,109308
Samoa,194672
San Marino,31608
Sao Tome and Principe,182138
Saudi Arabia,29411929
Scotland,5262200
Senegal,12530121
Serbia,7653748
Seychelles,92409
Sierra Leone,6436698
Singapore,5163590
Sint Maarten,33034
Slovakia,5396424
Slovak Republic,5402680
Slovenia,2057286
Solomon Islands,540394
Somalia,12026649
South Africa,51784921
South Korea,48813042
South Sudan,9714419
Spain,46572772
Sri Lanka,20668557
Sudan,33739933
Suriname,546080
Sweden,9381729
Switzerland,7822435
Syria,22337563
Taiwan,23083083
Tajikistan,7621779
Tanzania,45110527
Thailand,68270489
Timor-Leste,1088486
Togo,6571855
Tokelau,1367
Tonga,107383
Trinidad and Tobago,1410296
Tunisia,10895063
Turkey,73195345
Turkmenistan,5267970
Turks and Caicos Islands,29726
Tuvalu,10550
Uganda,32341728
Ukraine,45683020
United Arab Emirates,8481771
United States,311182845
United States Virgin Islands,106142
Uruguay,3352651
Uzbekistan,28614227
Vanuatu,245453
Vatican City,596
Venezuela,28715022
Vietnam,87411012
Wales,3050000
Wallis and Futuna,13142
Western Sahara,413296
Yemen,24743946
Zambia,13792086
Zimbabwe,12839771
